"450918","0071","792","YIVKK   ","VISA    ","C"
"453955","0010","792","YIVKK   ","VISA    ","C"
"453956","0010","792","YIVKK   ","VISA    ","C"
"454314","0064","792","YIVDK   ","VISA    ","D"
"454318","0064","792","YIVKK   ","VISA    ","C"
"454358","0064","792","YIVKK   ","VISA    ","C"
"454359","0064","792","YIVKK   ","VISA    ","C"
"454360","0064","792","YIVKK   ","VISA    ","C"
"454671","0010","792","YIVKK   ","VISA    ","C"
"454672","0010","792","YIVKK   ","VISA    ","C"
"454673","0010","792","YIVKK   ","VISA    ","C"
"454674","0010","792","YIVKK   ","VISA    ","C"
"454894","0010","792","YIVKK   ","VISA    ","C"
"455359","0067","792","YIVKK   ","VISA    ","C"
"455571","0099","792","YIVKK   ","VISA    ","C"
"455645","0071","792","YIVKK   ","VISA    ","C"
"456057","0109","792","YIVKK   ","VISA    ","C"
"456059","0109","792","YIVKK   ","VISA    ","C"
"460345","0134","792","YIVKK   ","VISA    ","C"
"460346","0134","792","YIVDK   ","VISA    ","D"
"460347","0134","792","YIVKK   ","VISA    ","C"
"461668","0062","792","SM      ","VISA    ","C"
"462274","0062","792","EKINBNS ","VISA    ",""
"465574","0134","792","YIVDK   ","VISA    ","D"
"467293","0062","792","SM      ","VISA    ","C"
"467294","0062","792","SM      ","VISA    ","C"
"467295","0062","792","SMTK    ","VISA    ","C"
"474151","0062","792","SM      ","VISA    ","C"
"479227","0032","792","YIVKK   ","VISA    ","C"
"479323","0062","792","GBKK    ","VISA    ","C"
"479324","0062","792","GBKK    ","VISA    ","C"
"479794","0067","792","YIVKK   ","VISA    ","C"
"479795","0067","792","YIVKK   ","VISA    ","C"
"487074","0062","792","BONUS   ","VISA    ","C"
"487075","0062","792","BONUS   ","VISA    ","C"
"490175","0062","792","GBKK    ","VISA    ","C"
"490805","0099","792","YIVKK   ","VISA    ","C"
"490806","0099","792","YIVKK   ","VISA    ","C"
"490807","0099","792","YIVKK   ","VISA    ","C"
"490808","0099","792","YIVDK   ","VISA    ","D"
"490983","0093","792","YIVDK   ","VISA    ","D"
"491005","0015","792","YIVDK   ","VISA    ","D"
"491205","0067","792","YIVKK   ","VISA    ","C"
"491206","0067","792","YIVKK   ","VISA    ","C"
"491373","0125","792","YIVKK   ","VISA    ","C"
"491374","0125","792","YIVKK   ","VISA    ","C"
"492094","0012","792","YIVKK   ","VISA    ","C"
"492095","0012","792","YIVKK   ","VISA    ","C"
"492128","0067","792","YIVKK   ","VISA    ","C"
"492130","0067","792","YIVKK   ","VISA    ","C"
"492131","0067","792","YIVKK   ","VISA    ","C"
"492186","0062","792","GBKK    ","VISA    ","C"
"492187","0062","792","GBKK    ","VISA    ","C"
"492193","0062","792","GBKK    ","VISA    ","C"
"493840","0015","792","YIVKK   ","VISA    ","C"
"493841","0015","792","YIVKK   ","VISA    ","C"
"493845","0062","792","GBKK    ","VISA    ","C"
"493846","0015","792","YIVKK   ","VISA    ","C"
"494063","0059","792","YIVKK   ","VISA    ","C"
"494064","0059","792","YIVKK   ","VISA    ","C"
"494314","0067","792","YIVDK   ","VISA    ","D"
"496019","0123","792","YIVKK   ","VISA    ","C"
"498850","0056","792","YIVKK   ","VISA    ","C"
"498851","0056","792","YIVKK   ","VISA    ","C"
"498852","0056","792","YIVKK   ","VISA    ","C"
"510005","0123","792","YIVKK   ","MASTER  ","C"
"510054","0067","792","YIVKK   ","MASTER  ","C"
"510056","0056","792","YIVKK   ","MASTER  ","C"
"510063","0134","792","YIVKK   ","MASTER  ","C"
