"YENİKÖY","VILLAGE","ADANA","ALADAĞ","334","35.435906","37.522327"
"YETİMLİ","VILLAGE","ADANA","ALADAĞ","517","35.330768","37.601934"
"YÜKSEKÖREN","VILLAGE","ADANA","ALADAĞ","215","35.399504","37.39709"
"CEYHAN","DISTRICT","ADANA","CEYHAN","108602","35.809803","37.023612"
"AĞAÇPINAR","VILLAGE","ADANA","CEYHAN","219","35.733983","36.972422"
"ALTIKARA","VILLAGE","ADANA","CEYHAN","120","35.712776","37.001766"
"AZİZLİ","VILLAGE","ADANA","CEYHAN","524","36.024715","37.053009"
"BÜYÜKBURHANİYE","VILLAGE","ADANA","CEYHAN","116","35.68831","37.054489"
"BÜYÜKMANGIT","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","3260","35.770257","37.036758"
"ÇAKALDERE","VILLAGE","ADANA","CEYHAN","489","35.683153","36.990981"
"ÇEVRETEPE","VILLAGE","ADANA","CEYHAN","552","35.823218","36.89963"
"ÇİÇEKLİ","VILLAGE","ADANA","CEYHAN","44","35.697849","37.08293"
"ÇİFTLİKLER","VILLAGE","ADANA","CEYHAN","557","35.877837","36.986935"
"ÇOKÇAPINAR","VILLAGE","ADANA","CEYHAN","484","35.710385","36.986855"
"DEĞİRMENDERE","VILLAGE","ADANA","CEYHAN","423","35.911853","37.003458"
"DOKUZTEKNE","VILLAGE","ADANA","CEYHAN","1189","35.97825","37.006337"
"DORUK","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","5075","35.762123","36.878257"
"DURHASANDEDE","VILLAGE","ADANA","CEYHAN","195","35.737626","36.879888"
"DUTLUPINAR","VILLAGE","ADANA","CEYHAN","885","36.016593","37.027317"
"ERENLER","VILLAGE","ADANA","CEYHAN","264","35.927365","37.004815"
"GÜNDOĞAN","VILLAGE","ADANA","CEYHAN","287","35.670227","36.891253"
"GÜNYAZI","VILLAGE","ADANA","CEYHAN","417","35.964244","37.066764"
"HAMDİLLİ","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","1301","35.92826","37.034744"
"HAMİDİYE","VILLAGE","ADANA","CEYHAN","77","35.995213","36.990854"
"HAMİTBEY","VILLAGE","ADANA","CEYHAN","218","35.827153","37.121038"
"HAMİTBEYBUCAĞI","VILLAGE","ADANA","CEYHAN","478","35.817779","37.108102"
"İMRAN","VILLAGE","ADANA","CEYHAN","500","35.974222","37.035492"
"İNCETARLA","VILLAGE","ADANA","CEYHAN","471","35.863526","37.087382"
"İSALI","VILLAGE","ADANA","CEYHAN","496","35.718942","36.920391"
"KILIÇKAYA","VILLAGE","ADANA","CEYHAN","418","35.705501","36.876915"
"KIZILDERE","VILLAGE","ADANA","CEYHAN","1258","35.681482","36.945506"
"KÖPRÜLÜ","VILLAGE","ADANA","CEYHAN","462","35.92319","37.095026"
"KÖRKUYU","VILLAGE","ADANA","CEYHAN","586","35.823027","36.948453"
"KURTKULAĞI","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","2691","35.884901","36.922695"
"KURTPINAR","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","2329","35.929518","36.928665"
"KUZUCAK","VILLAGE","ADANA","CEYHAN","719","35.995445","37.055508"
"KÜÇÜKBURHANİYE","VILLAGE","ADANA","CEYHAN","169","35.741952","37.009241"
"KÜÇÜKMANGIT","VILLAGE","ADANA","CEYHAN","349","35.79608","37.067568"
"MERCİMEK","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","3775","35.797587","37.104143"
"MUSTAFABEYLİ","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","2611","36.074234","37.07714"
"NARLIK","VILLAGE","ADANA","CEYHAN","524","35.851409","36.914492"
"SAĞIRLAR","VILLAGE","ADANA","CEYHAN","178","35.925407","36.975367"
"SARIKEÇİLİ","VILLAGE","ADANA","CEYHAN","347","35.910231","36.978084"
"SARIMAZI","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","5324","35.970981","36.964735"
"SELİMİYE","VILLAGE","ADANA","CEYHAN","196","35.962828","36.995728"
"SİRKELİ","VILLAGE","ADANA","CEYHAN","497","35.7507","36.9973"
"SOĞUKPINAR","VILLAGE","ADANA","CEYHAN","585","35.964342","37.028498"
"TOKTAMIŞ","VILLAGE","ADANA","CEYHAN","814","35.768653","37.002791"
"YELLİBEL","VILLAGE","ADANA","CEYHAN","212","35.735965","36.867708"
"YENİKÖYNAZIMBEY","VILLAGE","ADANA","CEYHAN","210","35.760933","36.949257"
"YILANKALE","VILLAGE","ADANA","CEYHAN","160","35.75664","37.018737"
"KÖSRELİ","SUBDISTRICT","ADANA","CEYHAN","2714","35.979461","37.16126"
"ADAPINAR","VILLAGE","ADANA","CEYHAN","375","35.891739","37.130868"
"ALTIGÖZ","VILLAGE","ADANA","CEYHAN","290","35.990886","37.120447"
"BEŞKUYU","VILLAGE","ADANA","CEYHAN","475","35.983439","37.099142"
"BİRKENT","VILLAGE_WITH_MUNICIPALITY","ADANA","CEYHAN","3273","36.023604","37.20746"
"BURHANLI","VILLAGE","ADANA","CEYHAN","864","36.068685","37.154742"
"CEYHANBEKİRLİ","VILLAGE","ADANA","CEYHAN","286","35.954792","37.201512"
"ÇATAKLI","VILLAGE","ADANA","CEYHAN","651","36.055977","37.130431"
"DEĞİRMENLİ","VILLAGE","ADANA","CEYHAN","264","35.987464","37.105311"
"DİKİLİTAŞ","VILLAGE","ADANA","CEYHAN","226","35.914429","37.185115"
"EKİNYAZI","VILLAGE","ADANA","CEYHAN","466","35.865613","37.166705"
"ELMAGÖLÜ","VILLAGE","ADANA","CEYHAN","398","35.902351","37.164083"
"GÜNLÜCE","VILLAGE","ADANA","CEYHAN","339","36.06652","37.181008"
"IRMAKLI","VILLAGE","ADANA","CEYHAN","272","35.977119","37.215356"
